-- Caracteristiques de toutes les especes
-- Format : ID Base[Vie Vitesse Attaque Defense AttSpe DefSpe] Nom
0 [1 1 1 1 1 1] MissingNo
1 [200 90 90 30 90 60] Salameche
2 [260 30 60 90 60 60] Carapuce
3 [290 30 30 90 30 90] Bulbizarre
4 [160 90 60 30 30 30] Rattata
5 [160 60 60 60 30 30] Roucool
6 [200 90 90 30 90 60] Salameche
7 [260 30 60 90 60 60] Carapuce
8 [290 30 30 90 30 90] Bulbizarre
9 [160 90 60 30 30 30] Rattata
10 [160 60 60 60 30 30] Roucool
11 [200 90 90 30 90 60] Salameche
12 [260 30 60 90 60 60] Carapuce
13 [290 30 30 90 30 90] Bulbizarre
14 [160 90 60 30 30 30] Rattata
15 [160 60 60 60 30 30] Roucool
16 [200 90 90 30 90 60] Salameche
17 [260 30 60 90 60 60] Carapuce
18 [290 30 30 90 30 90] Bulbizarre
19 [160 90 60 30 30 30] Rattata
20 [160 60 60 60 30 30] Roucool
21 [200 90 90 30 90 60] Salameche
22 [260 30 60 90 60 60] Carapuce
23 [290 30 30 90 30 90] Bulbizarre
24 [160 90 60 30 30 30] Rattata
25 [160 60 60 60 30 30] Roucool
26 [200 90 90 30 90 60] Salameche
27 [260 30 60 90 60 60] Carapuce
28 [290 30 30 90 30 90] Bulbizarre
29 [160 90 60 30 30 30] Rattata
30 [160 60 60 60 30 30] Roucool
31 [200 90 90 30 90 60] Salameche
32 [260 30 60 90 60 60] Carapuce
33 [290 30 30 90 30 90] Bulbizarre
34 [160 90 60 30 30 30] Rattata
35 [160 60 60 60 30 30] Roucool
36 [200 90 90 30 90 60] Salameche
37 [260 30 60 90 60 60] Carapuce
38 [290 30 30 90 30 90] Bulbizarre
39 [160 90 60 30 30 30] Rattata
40 [160 60 60 60 30 30] Roucool
41 [200 90 90 30 90 60] Salameche
42 [260 30 60 90 60 60] Carapuce
43 [290 30 30 90 30 90] Bulbizarre
44 [160 90 60 30 30 30] Rattata
45 [160 60 60 60 30 30] Roucool
46 [200 90 90 30 90 60] Salameche
47 [260 30 60 90 60 60] Carapuce
48 [290 30 30 90 30 90] Bulbizarre
49 [160 90 60 30 30 30] Rattata
50 [160 60 60 60 30 30] Roucool
